"C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","T01","T02","T03","T04","T05","T06","T07","T08","T09","T10"
"ANKRD12",2,9302,195,1,0,1,9,5,25,2,0,0,48,5,6490,280,2,14776,1,0
"SETBP1",12,10731,0,2,4,13,12,2,0,6,18,0,24,2,2,114,6,6,0,10
"SMAD2",4,11608,10,82,0,49,0,2,1,32,30,60709,4,16,10267,1532,2,1944,1,0
"MEX3C",1,2,31,42998,7,0,2,0,0,0,3,0,2,6,0,557,0,0,0,1
"RPS15",2,9013,1,125,1,2,1,31,12,0,3,57,0,0,0,0,1,4,0,0
"GDF15",0,0,0,0,0,9,16986,15,11,58301,0,0,0,0,2,0,0,0,5,1
"UBA52",4,14844,0,1,0,5,0,37264,1,5,7,26568,0,0,7,3,0,18552,8665,2
"LOC105372310",1,7303,2036,0,3,4,0,8,20206,9,5,13949,24,0,17,4,1,14283,1,1
"ZNF91",0,248,6,0,0,19,26188,4,1,9,5,3,62112,0,790,32,0,59410,2,4
"RPSAP58",6,13453,1,1,4383,1,59,2,246,7,0,0,8,11,817,0,0,34370,1,1
"LOC124904704",24,1027,5,228,43,79,8,93,1864,6,19,1574,16,29,2120,2,23,164,10091,136
"RPS16",3,37022,8257,1,0,3,5,11,53215,20,12,78045,0,4,63,12,1,65654,3,0
"PSG1",0,0,0,5,2,0,8109,0,598,6,0,3,4,56859,0,1,0,1,0,0
"FTL",4,13973,6,132,11,38470,0,17,24,0,10,9665,2,39,2,0,0,3,0,0
"RPL13A",2,17413,21968,4,3,114,1,0,0,0,34,7684,0,3,6,0,0,0,0,0
"RPS11",30,75209,2,348,19304,877,3,107,442606,4506,12,63309,0,4,6181,12,1,64936,6,11
"RPS5",3,1085,3,11,22,70262,1,0,0,0,16,0,0,0,0,0,0,960,0,0
"LOC124900459",2,2,10,0,0,81,0,0,11,27,2,10,21,0,1,35,0,6,4,0
"LOC105379481",0,95,2,30,4,7,3,7,346,5,0,130,3,10,72,7,0,69,237,0
"CHD6",3,572,6,0,0,4,9,0,4,6,0,22,6,4,2,27,4,2,3,0
"ATP9A",25594,2,2,0,3,0,0,6,0,10,0,0,0,0,0,36,0,8,0,0
"VAPB",3,13925,0,3,1,5,5,0,0,0,2,0,0,20,0,0,10,0,0,2
"GNAS",1,1586,0,13,2,3,67513,0,23,2,2969,11,0,4,6722,0,2,2456,0,0
"RNA45SN2",0,212,5,2,2,15,4,10,16,15,9,10,37,34,1,262,5,8,1,2
"CDC27P9",10,28,28,10,0,30,5,30,20,67,21,23,149,94,8,5918,9,7,10,12
